Location,Area,BHK,Floor,Balconies,Property Age,Parking,Near Market,Main Road,Furnishing,Price
Rau-Pithampur Road,2387,3,2,2,20,Yes,Yes,Yes,Semi-Furnished,92.23
Pardesipura,2259,3,4,2,9,No,No,No,Non-Furnished,103.56
Mhow Road,4425,4,3,3,17,Yes,Yes,Yes,Non-Furnished,176.24
Super Corridor,2759,4,2,2,19,Yes,Yes,Yes,Semi-Furnished,254.51
Pardesipura,1573,3,4,4,4,No,Yes,Yes,Furnished,84.66
LIG Colony,1308,2,1,4,24,No,Yes,Yes,Semi-Furnished,71.13
MR-10,1790,3,3,0,17,Yes,No,No,Semi-Furnished,109.38
Rajendra Nagar,2258,3,2,1,21,Yes,No,No,Non-Furnished,88.92
Vaishali Nagar,2635,3,3,0,37,Yes,Yes,Yes,Semi-Furnished,147.59
Annapurna Road,3559,4,1,1,42,Yes,No,No,Furnished,145.68
Limbodi,2200,3,2,2,6,Yes,No,No,Furnished,103.64
Silicon City,790,1,3,1,37,Yes,No,No,Furnished,23.01
Pardesipura,2625,3,1,1,39,No,Yes,Yes,Semi-Furnished,94.91
CAT Road,3389,4,4,3,3,No,Yes,Yes,Semi-Furnished,174.58
Rajendra Nagar,1205,2,3,3,15,No,Yes,Yes,Furnished,56.2
Palasia,1284,2,1,2,20,No,No,No,Semi-Furnished,84.81
AB Road,3750,4,3,4,16,No,Yes,Yes,Non-Furnished,229.68
Ujjain Road,775,1,3,4,4,No,No,No,Furnished,32.83
Nipania,4836,5,0,1,32,No,No,Yes,Furnished,348.78
AB Road,585,1,1,0,3,Yes,Yes,Yes,Furnished,45.36
Mahalaxmi Nagar,4209,5,4,4,11,Yes,No,Yes,Furnished,393.06
Lokmanya Nagar,3273,4,1,1,42,Yes,No,No,Furnished,131.92
Ujjain Road,4080,4,1,4,11,No,Yes,Yes,Non-Furnished,151.08
CAT Road,3672,4,2,0,34,No,Yes,Yes,Semi-Furnished,142.25
Mhow Road,2174,3,3,4,44,No,Yes,Yes,Non-Furnished,66.13
Pipliyahana,1887,3,2,2,35,Yes,Yes,Yes,Semi-Furnished,97.3
Rajendra Nagar,4302,4,3,4,3,Yes,Yes,Yes,Furnished,223.71
Scheme No. 94,1026,2,4,2,35,No,No,No,Semi-Furnished,43.95
Pipliyahana,3823,4,3,4,9,No,Yes,Yes,Non-Furnished,229.16
Pipliyahana,1847,3,3,1,31,No,Yes,Yes,Furnished,100.65
Rau,1580,3,3,1,11,Yes,Yes,No,Non-Furnished,89.36
Sudama Nagar,4503,4,3,1,43,No,No,No,Furnished,158.63
Scheme No. 94,3317,4,1,3,35,No,No,No,Furnished,144.49
Annapurna Road,4247,4,4,0,19,No,No,No,Semi-Furnished,213.41
Mhow Road,832,2,1,2,37,No,No,No,Semi-Furnished,27.23
AB Road,1930,3,2,1,15,Yes,No,No,Non-Furnished,116.4
Saket Nagar,3025,4,4,4,33,Yes,Yes,Yes,Non-Furnished,144.51
Nipania,3958,5,4,0,11,Yes,No,Yes,Non-Furnished,297.59
MR-10,4129,4,1,2,24,Yes,Yes,Yes,Furnished,248.14
Annapurna Road,1247,2,4,3,2,Yes,Yes,Yes,Non-Furnished,72.52
Rajendra Nagar,3549,4,4,0,15,Yes,No,No,Non-Furnished,149.72
Rau-Pithampur Road,3529,4,2,1,9,No,No,No,Furnished,151.66
Pardesipura,3982,4,1,1,40,No,Yes,Yes,Semi-Furnished,142.29
Mahu Naka,4839,4,2,0,35,No,Yes,Yes,Furnished,234.06
Bengali Square,2405,4,2,3,38,Yes,Yes,No,Non-Furnished,207.28
Scheme No. 54,3959,5,4,3,40,No,No,No,Furnished,464.22
Ring Road,3229,4,2,4,10,Yes,No,No,Non-Furnished,173.03
Navlakha,4693,4,3,3,42,Yes,Yes,Yes,Non-Furnished,191.54
Pardesipura,891,2,4,4,10,No,Yes,Yes,Semi-Furnished,43.94
LIG Colony,4282,4,4,3,7,No,Yes,Yes,Furnished,269.41
Khandwa Road,1171,2,2,0,27,Yes,Yes,Yes,Semi-Furnished,49.17
Scheme No. 140,3182,4,2,0,35,Yes,Yes,Yes,Semi-Furnished,165.73
Scheme No. 140,4934,4,1,4,15,Yes,No,No,Non-Furnished,278.67
Bhawarkuan,2555,3,3,3,37,Yes,No,No,Semi-Furnished,104.18
Khandwa Road,1304,2,2,3,9,Yes,Yes,Yes,Furnished,65.88
Rajendra Nagar,4505,4,2,3,23,Yes,No,No,Furnished,187.72
LIG Colony,1224,2,3,4,16,No,Yes,Yes,Semi-Furnished,70.49
Saket Nagar,3188,4,3,4,36,Yes,Yes,Yes,Furnished,158.53
Rau-Pithampur Road,3489,4,2,1,2,No,No,No,Semi-Furnished,152.37
Chandan Nagar,3229,4,2,4,10,Yes,No,No,Non-Furnished,123.82
LIG Colony,1258,2,4,0,11,Yes,No,No,Furnished,75.36
Rajendra Nagar,2238,3,1,1,44,Yes,No,No,Semi-Furnished,71.26
Bhawarkuan,3270,4,3,0,19,Yes,Yes,Yes,Semi-Furnished,164.9
Rajendra Nagar,3820,4,2,0,12,Yes,No,No,Non-Furnished,162.7
Dhar Road,3947,4,2,3,12,Yes,Yes,Yes,Semi-Furnished,159.29
Palasia,2697,3,1,1,14,No,No,No,Non-Furnished,177.1
Pardesipura,2781,3,3,0,40,Yes,No,No,Semi-Furnished,97.8
Rau,2088,3,4,3,41,Yes,No,No,Semi-Furnished,139.49
Pardesipura,4532,4,2,0,5,Yes,Yes,Yes,Furnished,240.1
Bhawarkuan,2200,3,2,2,6,Yes,No,No,Furnished,122.03
Lokmanya Nagar,2088,3,2,2,6,No,Yes,Yes,Semi-Furnished,108.09
Ujjain Road,1261,2,2,4,20,No,No,No,Non-Furnished,41.55
Pardesipura,4749,4,1,3,20,No,Yes,Yes,Furnished,217.61
Gandhi Nagar,1113,2,4,4,31,No,Yes,Yes,Furnished,49.15
Silicon City,3910,4,2,1,1,No,No,No,Semi-Furnished,157.32
Ring Road,3322,4,1,1,13,Yes,No,No,Semi-Furnished,181.49
Gandhi Nagar,1335,2,4,3,20,Yes,No,No,Semi-Furnished,61.05
Bhawarkuan,4455,4,3,4,7,No,Yes,Yes,Furnished,254.74
Pardesipura,669,1,1,1,6,No,Yes,Yes,Non-Furnished,32.07
Pipliyahana,4682,4,3,3,42,Yes,No,No,Semi-Furnished,218.48
Vijay Nagar,2402,4,1,4,11,No,Yes,No,Unfurnished,252.24
Silicon City,4387,4,3,3,17,No,No,No,Non-Furnished,144.54
Vijay Nagar,3886,5,0,4,12,Yes,No,No,Semi-Furnished,376.22
Silicon City,4949,4,4,1,39,No,No,No,Non-Furnished,125.91
Vijay Nagar,4250,5,4,4,8,Yes,Yes,No,Furnished,416.3
Vaishali Nagar,2657,3,4,0,13,No,No,No,Non-Furnished,163.95
Tilak Nagar,4999,4,1,2,32,No,No,No,Furnished,261.85
Gandhi Nagar,3585,4,1,4,8,Yes,No,No,Non-Furnished,165.02
Rau,2270,4,4,0,15,No,No,Yes,Semi-Furnished,139.3
Dhar Road,4228,4,1,4,37,No,No,No,Furnished,129.84
Vijay Nagar,3966,5,0,4,3,No,No,No,Semi-Furnished,382.42
Sudama Nagar,4911,4,4,1,32,Yes,No,No,Non-Furnished,182.34
Khajrana,797,1,3,4,17,No,No,No,Furnished,32.08
Bhawarkuan,1955,3,3,3,12,Yes,Yes,Yes,Non-Furnished,100.72
Scheme No. 54,4966,5,0,1,34,No,No,No,Non-Furnished,514.07
Bhawarkuan,1618,3,2,4,26,No,No,No,Semi-Furnished,72.16
Vijay Nagar,713,1,2,1,16,Yes,No,Yes,Furnished,112.01
LIG Colony,1439,2,2,1,28,No,Yes,Yes,Semi-Furnished,76.97
Scheme No. 140,4226,4,3,3,11,No,No,No,Non-Furnished,248.86
Pipliyahana,3655,4,4,1,19,Yes,Yes,Yes,Non-Furnished,206.89
Limbodi,1428,2,3,2,21,No,Yes,Yes,Non-Furnished,55.7
Bhawarkuan,1347,2,4,4,28,No,Yes,Yes,Furnished,64.7
Khajrana,3526,4,1,2,34,No,Yes,Yes,Semi-Furnished,115.57
MR-10,1383,2,1,0,28,Yes,Yes,Yes,Non-Furnished,75.69
Rau-Pithampur Road,4186,4,4,2,34,Yes,No,No,Non-Furnished,131.14
Ujjain Road,2384,3,1,1,17,Yes,No,No,Furnished,88.95
Ujjain Road,2468,3,2,4,25,No,No,No,Semi-Furnished,81.43
Khajrana,1486,2,3,2,8,Yes,Yes,Yes,Non-Furnished,62.82
Chandan Nagar,698,1,1,2,45,Yes,Yes,Yes,Semi-Furnished,19.93
Dhar Road,3463,4,4,2,11,Yes,No,No,Non-Furnished,133.34
Ujjain Road,4306,4,4,4,11,No,No,No,Semi-Furnished,166.28
Mahalaxmi Nagar,3050,4,3,0,22,No,Yes,No,Semi-Furnished,262.81
Gandhi Nagar,1883,3,2,2,21,No,Yes,Yes,Furnished,89.3
Ring Road,698,1,1,2,45,Yes,Yes,Yes,Semi-Furnished,30.77
LIG Colony,4445,4,4,4,12,No,No,No,Non-Furnished,240.67
Pipliyahana,3135,4,4,3,1,Yes,Yes,Yes,Non-Furnished,202.71
Chandan Nagar,4682,4,3,4,26,No,No,No,Furnished,167.41
Bengali Square,1307,3,1,3,24,Yes,Yes,No,Non-Furnished,124.08
Bhawarkuan,4706,4,3,2,31,Yes,Yes,Yes,Semi-Furnished,211.9
Annapurna Road,693,1,1,2,27,Yes,No,No,Non-Furnished,31.53
Navlakha,4444,4,2,3,43,No,Yes,Yes,Non-Furnished,177.04
Ujjain Road,2829,3,3,0,31,No,Yes,Yes,Furnished,94.49
Vijay Nagar,2869,4,1,4,1,No,No,No,Furnished,296.93
Mahalaxmi Nagar,3152,4,3,4,41,Yes,No,No,Semi-Furnished,274.26
Pipliyahana,1213,2,1,2,2,Yes,Yes,Yes,Semi-Furnished,81.08
MR-10,2765,3,3,4,33,Yes,No,No,Non-Furnished,140.53
Limbodi,4280,4,3,3,13,No,No,No,Semi-Furnished,182.49
Indore Bypass,4921,4,2,4,44,No,Yes,Yes,Furnished,218.55
Dhar Road,4880,4,1,0,2,Yes,Yes,Yes,Non-Furnished,205.29
Rau-Pithampur Road,4305,4,3,4,40,Yes,Yes,Yes,Non-Furnished,128.83
Dhar Road,2153,3,4,3,28,No,Yes,Yes,Semi-Furnished,74.32
Chandan Nagar,1504,3,3,2,11,Yes,Yes,Yes,Semi-Furnished,62.8
Vijay Nagar,622,1,0,1,22,No,No,Yes,Unfurnished,87.24
Pipliyahana,2794,3,3,3,12,No,No,No,Non-Furnished,158.19
Scheme No. 140,1199,2,4,4,16,Yes,Yes,Yes,Furnished,78.77
Mahu Naka,4330,4,2,0,22,Yes,No,No,Furnished,219.7
Annapurna Road,500,1,1,2,16,Yes,Yes,Yes,Semi-Furnished,27.57
Silicon City,2600,3,2,3,41,No,Yes,Yes,Furnished,71.04
Sudama Nagar,666,1,3,3,26,Yes,Yes,Yes,Non-Furnished,27.93
Indore Bypass,4702,4,2,4,6,Yes,Yes,Yes,Furnished,282.5
Tilak Nagar,4890,4,3,0,17,No,No,No,Non-Furnished,273.56
LIG Colony,3386,4,1,4,14,Yes,No,No,Non-Furnished,179.0
Navlakha,4306,4,3,0,5,No,Yes,Yes,Non-Furnished,245.36
Vaishali Nagar,2217,3,2,1,28,No,Yes,Yes,Furnished,134.56
Silicon City,3434,4,4,2,42,Yes,Yes,Yes,Non-Furnished,86.91
Vijay Nagar,3064,4,1,4,9,No,Yes,Yes,Furnished,317.38
Pardesipura,4670,4,4,0,30,Yes,No,No,Semi-Furnished,184.13
Mahu Naka,4333,4,1,0,21,Yes,Yes,Yes,Furnished,229.08
Pipliyahana,1972,3,3,4,40,No,Yes,Yes,Non-Furnished,91.66
Navlakha,3486,4,3,0,36,Yes,No,No,Non-Furnished,144.33
Mahalaxmi Nagar,1337,3,3,4,34,Yes,No,No,Semi-Furnished,113.13
Pipliyahana,4202,4,3,2,26,No,Yes,Yes,Non-Furnished,220.86
Saket Nagar,3010,4,1,1,32,No,No,No,Non-Furnished,135.52
Ujjain Road,3090,4,1,1,8,Yes,Yes,Yes,Non-Furnished,118.67
Ujjain Road,1434,2,1,2,23,No,Yes,Yes,Furnished,51.51
Pipliyahana,2809,3,4,3,1,Yes,No,No,Semi-Furnished,184.64
Annapurna Road,1376,2,1,0,18,Yes,Yes,Yes,Semi-Furnished,71.84
Vaishali Nagar,2329,3,3,2,42,Yes,Yes,Yes,Non-Furnished,119.16
Ring Road,2964,3,4,2,9,Yes,Yes,Yes,Semi-Furnished,176.84
Mhow Road,753,1,1,4,33,No,Yes,Yes,Non-Furnished,25.39
Mahu Naka,3359,4,2,4,26,No,No,No,Furnished,165.24
Mhow Road,2824,3,1,4,18,Yes,Yes,Yes,Furnished,120.16
Gandhi Nagar,1943,3,1,1,26,No,Yes,Yes,Semi-Furnished,84.24
Saket Nagar,4377,4,4,0,32,Yes,Yes,Yes,Furnished,227.23
Mhow Road,4107,4,3,3,41,Yes,Yes,Yes,Semi-Furnished,135.57
Ring Road,651,1,2,2,9,No,Yes,Yes,Furnished,39.04
Saket Nagar,2490,3,2,3,18,Yes,No,No,Non-Furnished,129.61
Chandan Nagar,4232,4,4,0,23,No,No,No,Furnished,157.29
Palasia,3839,4,3,2,4,Yes,Yes,Yes,Non-Furnished,292.22
Vijay Nagar,4740,5,2,3,43,No,No,No,Semi-Furnished,420.1
Gandhi Nagar,2417,3,3,2,32,No,No,No,Semi-Furnished,97.16
CAT Road,2163,3,2,1,4,No,No,No,Semi-Furnished,105.33
Limbodi,2284,3,3,4,42,No,Yes,Yes,Non-Furnished,71.64
Chandan Nagar,2892,3,2,4,3,Yes,No,No,Non-Furnished,118.21
AB Road,3855,4,2,3,10,No,Yes,Yes,Furnished,267.08
Ring Road,1991,3,4,1,10,No,Yes,Yes,Non-Furnished,111.1
AB Road,2743,3,3,4,18,Yes,Yes,Yes,Furnished,181.97
MR-10,2383,3,4,2,42,Yes,Yes,Yes,Semi-Furnished,123.78
Rau-Pithampur Road,1281,2,3,3,9,Yes,Yes,Yes,Non-Furnished,53.49
Scheme No. 54,3768,5,0,0,22,No,No,Yes,Non-Furnished,405.56
Mahalaxmi Nagar,3598,5,1,0,21,Yes,Yes,Yes,Non-Furnished,279.78
Scheme No. 140,2032,3,1,4,42,Yes,No,No,Non-Furnished,91.57
Vaishali Nagar,1499,2,4,4,29,Yes,No,No,Non-Furnished,84.02
Mahu Naka,4579,4,1,2,8,No,Yes,Yes,Semi-Furnished,251.05
Silicon City,675,1,2,1,1,No,Yes,Yes,Furnished,28.96
Pardesipura,1023,2,3,4,45,Yes,Yes,Yes,Semi-Furnished,35.7
Scheme No. 54,3314,4,0,1,31,No,Yes,Yes,Furnished,350.34
Limbodi,2777,3,2,0,29,No,No,No,Furnished,105.08
Bengali Square,2480,4,3,3,37,No,Yes,No,Semi-Furnished,243.26
Chandan Nagar,2231,3,1,2,6,No,Yes,Yes,Non-Furnished,90.62
Sudama Nagar,2613,3,1,0,27,No,No,No,Furnished,108.37
Limbodi,4557,4,2,0,2,No,No,No,Semi-Furnished,211.29
Lokmanya Nagar,644,1,1,1,23,No,Yes,Yes,Furnished,30.73
Rau,3987,5,4,1,43,No,Yes,Yes,Furnished,253.16
Mhow Road,1033,2,2,3,25,Yes,Yes,Yes,Semi-Furnished,40.43
Bhawarkuan,944,2,4,0,2,Yes,No,No,Non-Furnished,51.5
Pipliyahana,2067,3,1,3,6,No,No,No,Furnished,130.36
Khandwa Road,2762,3,4,4,5,Yes,No,No,Semi-Furnished,134.55
Scheme No. 94,3985,4,3,3,18,No,No,No,Semi-Furnished,201.26
Tilak Nagar,4233,4,1,1,25,No,Yes,Yes,Non-Furnished,225.25
Bengali Square,3070,4,2,4,2,Yes,Yes,No,Non-Furnished,283.76
AB Road,845,2,2,1,13,No,No,No,Furnished,55.21
Scheme No. 140,711,1,1,4,36,Yes,Yes,Yes,Semi-Furnished,37.82
Silicon City,2027,3,4,2,6,No,Yes,Yes,Furnished,84.18
Scheme No. 94,4967,4,4,0,2,Yes,Yes,Yes,Furnished,312.33
Lokmanya Nagar,3698,4,4,4,44,Yes,Yes,Yes,Furnished,154.32
Bengali Square,817,2,0,2,36,Yes,Yes,Yes,Semi-Furnished,78.38
Annapurna Road,4628,4,1,4,45,Yes,No,No,Furnished,182.86
Indore Bypass,4884,4,1,3,33,Yes,No,No,Furnished,229.44
Nipania,2601,4,0,1,7,No,No,No,Non-Furnished,225.37
Rajendra Nagar,3480,4,2,1,14,Yes,Yes,Yes,Semi-Furnished,158.05
Mhow Road,1887,3,2,2,35,Yes,Yes,Yes,Semi-Furnished,66.36
Saket Nagar,3415,4,3,2,8,No,No,No,Semi-Furnished,201.14
Pipliyahana,4016,4,3,1,7,Yes,No,No,Furnished,257.79
Rau,4774,5,2,0,28,Yes,Yes,No,Furnished,287.16
LIG Colony,4847,4,3,4,15,Yes,No,No,Furnished,278.47
AB Road,3385,4,4,2,39,No,No,No,Semi-Furnished,170.76
CAT Road,1642,3,1,1,41,No,Yes,Yes,Non-Furnished,55.89
Limbodi,829,2,1,3,41,Yes,No,No,Furnished,28.16
Scheme No. 54,2318,4,1,3,24,No,No,No,Furnished,241.99
Nipania,2187,3,3,4,12,No,No,Yes,Furnished,181.66
AB Road,3759,4,3,2,34,No,Yes,Yes,Semi-Furnished,204.71
Super Corridor,2373,4,3,0,5,Yes,Yes,Yes,Semi-Furnished,244.84
AB Road,3473,4,4,1,23,No,Yes,Yes,Furnished,219.28
Scheme No. 140,2685,3,2,2,38,No,No,No,Semi-Furnished,130.47
Bengali Square,3922,5,3,1,22,No,No,Yes,Furnished,313.73
Scheme No. 94,3527,4,2,3,35,No,No,No,Non-Furnished,142.21
Palasia,553,1,4,2,8,Yes,No,No,Semi-Furnished,44.65
Silicon City,1949,3,3,1,23,Yes,Yes,Yes,Semi-Furnished,65.86
Rau-Pithampur Road,3083,4,4,3,42,No,Yes,Yes,Furnished,97.83
Scheme No. 54,2024,3,1,4,8,Yes,Yes,Yes,Semi-Furnished,212.51
Scheme No. 94,2960,3,4,2,26,No,No,No,Non-Furnished,133.63
Silicon City,1960,3,1,1,38,No,Yes,Yes,Furnished,55.46
Vaishali Nagar,2803,3,3,1,43,No,No,No,Furnished,146.01
LIG Colony,1020,2,3,3,21,Yes,Yes,Yes,Furnished,60.5
Annapurna Road,2986,3,3,3,44,No,No,No,Furnished,120.34
Mahu Naka,2251,3,3,0,14,Yes,No,No,Furnished,121.49
CAT Road,4998,4,1,3,39,Yes,Yes,Yes,Non-Furnished,174.68
Saket Nagar,942,2,2,2,19,Yes,Yes,Yes,Non-Furnished,51.33
Gandhi Nagar,2048,3,3,1,17,No,No,No,Semi-Furnished,93.46
Silicon City,2029,3,3,2,29,Yes,Yes,Yes,Non-Furnished,60.87
Indore Bypass,4294,4,2,3,24,Yes,Yes,Yes,Furnished,226.69
Palasia,696,1,4,1,33,Yes,Yes,Yes,Semi-Furnished,46.69
Palasia,818,2,1,3,42,Yes,Yes,Yes,Semi-Furnished,48.56
Scheme No. 94,3655,4,3,0,28,Yes,Yes,Yes,Furnished,180.24
Mahalaxmi Nagar,547,1,3,3,28,Yes,Yes,Yes,Furnished,56.95
Ring Road,4397,4,2,1,3,Yes,Yes,Yes,Non-Furnished,255.93
Rau-Pithampur Road,4066,4,2,4,37,No,Yes,Yes,Non-Furnished,124.62
Nipania,1606,3,1,0,21,No,Yes,Yes,Furnished,139.5
AB Road,1871,3,1,3,32,No,No,No,Non-Furnished,93.42
Annapurna Road,1544,3,4,0,35,No,No,No,Non-Furnished,63.54
Khajrana,1984,3,4,1,23,No,Yes,Yes,Furnished,78.05
Pipliyahana,4344,4,3,2,8,Yes,Yes,Yes,Semi-Furnished,277.5
Saket Nagar,2776,3,3,3,4,No,No,No,Non-Furnished,160.42
Bhawarkuan,4384,4,2,4,13,Yes,No,No,Semi-Furnished,220.55
Lokmanya Nagar,515,1,3,1,10,No,Yes,Yes,Non-Furnished,25.1
Nipania,2282,4,2,2,24,Yes,Yes,No,Furnished,208.26
Ujjain Road,675,1,1,1,4,Yes,No,No,Furnished,29.2
Scheme No. 140,4791,4,3,4,29,No,Yes,Yes,Semi-Furnished,262.71
Sudama Nagar,4417,4,2,0,23,Yes,Yes,Yes,Semi-Furnished,191.53
Scheme No. 94,2263,3,1,0,25,No,No,No,Furnished,109.53
Lokmanya Nagar,3900,4,3,3,39,No,No,No,Non-Furnished,149.52
Super Corridor,4323,5,0,2,21,No,Yes,No,Non-Furnished,398.4
Bhawarkuan,676,1,2,4,10,No,No,No,Semi-Furnished,34.64
Navlakha,3383,4,4,3,40,Yes,Yes,Yes,Furnished,153.77
Silicon City,3668,4,3,1,37,No,No,No,Furnished,103.73
Gandhi Nagar,3650,4,3,3,30,Yes,No,No,Semi-Furnished,150.39
Rau,788,2,3,1,2,No,No,Yes,Semi-Furnished,49.87
Annapurna Road,1868,3,1,2,13,Yes,No,No,Non-Furnished,93.42
Pipliyahana,3507,4,1,0,20,No,Yes,Yes,Non-Furnished,190.14
Tilak Nagar,699,1,4,0,5,No,Yes,Yes,Furnished,47.89
Vijay Nagar,1650,3,1,2,39,Yes,No,Yes,Semi-Furnished,179.4
Mhow Road,3043,4,3,2,1,No,Yes,Yes,Furnished,149.2
Lokmanya Nagar,2939,3,3,1,27,No,No,No,Furnished,133.61
Tilak Nagar,740,1,4,0,10,Yes,Yes,Yes,Semi-Furnished,49.35
Rajendra Nagar,1701,3,4,1,11,No,Yes,Yes,Semi-Furnished,80.05
Mhow Road,4682,4,3,3,42,Yes,No,No,Semi-Furnished,147.96
Navlakha,3841,4,3,0,12,No,Yes,Yes,Furnished,223.7
Indore Bypass,3204,4,2,3,28,Yes,Yes,Yes,Furnished,164.25
Gandhi Nagar,2741,3,1,0,34,No,No,No,Semi-Furnished,106.52
Scheme No. 94,4893,4,2,3,12,No,No,No,Semi-Furnished,258.76
Scheme No. 94,3406,4,3,2,39,No,No,No,Non-Furnished,132.4
Saket Nagar,3896,4,4,3,45,Yes,Yes,Yes,Semi-Furnished,172.54
Mhow Road,3135,4,4,3,1,Yes,Yes,Yes,Non-Furnished,143.29
Mahu Naka,1435,2,4,0,7,No,Yes,Yes,Semi-Furnished,80.99
Saket Nagar,2316,3,1,2,12,No,Yes,Yes,Semi-Furnished,134.36
Limbodi,1262,2,1,2,32,Yes,No,No,Non-Furnished,42.86
Indore Bypass,4343,4,3,2,1,No,No,No,Non-Furnished,239.47
Ujjain Road,3634,4,3,1,45,No,No,No,Semi-Furnished,94.81
LIG Colony,3282,4,3,4,35,Yes,Yes,Yes,Semi-Furnished,170.74
Saket Nagar,2594,3,4,2,22,Yes,Yes,Yes,Non-Furnished,137.04
Chandan Nagar,2567,3,4,2,26,No,Yes,Yes,Non-Furnished,87.39
Ujjain Road,918,2,3,0,23,No,No,No,Non-Furnished,29.58
Tilak Nagar,3271,4,1,0,8,Yes,Yes,Yes,Semi-Furnished,210.32
Bhawarkuan,839,2,4,3,37,Yes,Yes,Yes,Semi-Furnished,36.73
Silicon City,685,1,3,4,14,No,No,No,Non-Furnished,23.29
Lokmanya Nagar,2487,3,2,0,25,No,Yes,Yes,Furnished,117.75
Khajrana,527,1,2,0,36,Yes,No,No,Furnished,17.91
Mahalaxmi Nagar,3949,5,3,1,8,No,Yes,Yes,Non-Furnished,364.65
Scheme No. 94,911,2,1,3,9,Yes,No,No,Semi-Furnished,50.89
LIG Colony,1673,3,1,0,34,No,Yes,Yes,Semi-Furnished,85.81
Mahu Naka,930,2,3,0,13,Yes,Yes,Yes,Furnished,53.41
Gandhi Nagar,4061,4,1,2,11,No,Yes,Yes,Semi-Furnished,198.66
Khandwa Road,3115,4,4,4,16,Yes,Yes,Yes,Non-Furnished,137.22
Tilak Nagar,1426,2,4,0,39,Yes,Yes,Yes,Non-Furnished,69.88
Palasia,3269,4,2,0,26,Yes,Yes,Yes,Furnished,225.08
Pipliyahana,4107,4,3,3,41,Yes,Yes,Yes,Semi-Furnished,200.19
Saket Nagar,1800,3,4,4,18,Yes,Yes,Yes,Semi-Furnished,103.58
Pardesipura,1272,2,3,3,38,Yes,No,No,Furnished,48.05
Bhawarkuan,1588,3,1,3,11,No,Yes,Yes,Semi-Furnished,83.7
Bhawarkuan,829,2,1,3,41,Yes,No,No,Furnished,33.73
Gandhi Nagar,2146,3,2,3,42,Yes,No,No,Semi-Furnished,78.79
Dhar Road,603,1,2,0,42,Yes,Yes,Yes,Non-Furnished,17.24
Palasia,4186,4,2,4,4,Yes,No,No,Semi-Furnished,319.14
Annapurna Road,2019,3,3,4,19,Yes,No,No,Semi-Furnished,102.22
Scheme No. 94,2405,3,2,4,27,Yes,No,No,Furnished,116.58
Limbodi,3206,4,1,3,16,No,No,No,Non-Furnished,124.44
Scheme No. 54,2336,4,3,4,4,No,No,No,Semi-Furnished,255.46
Ring Road,3489,4,2,1,2,No,No,No,Semi-Furnished,206.41
Mahalaxmi Nagar,1691,3,2,1,11,No,Yes,No,Furnished,152.47
Gandhi Nagar,1968,3,2,0,34,Yes,Yes,Yes,Semi-Furnished,81.07
Annapurna Road,594,1,1,4,28,Yes,No,No,Non-Furnished,26.97
Vaishali Nagar,2838,3,1,2,29,No,Yes,Yes,Semi-Furnished,164.9
Ujjain Road,4836,4,4,0,5,No,Yes,Yes,Semi-Furnished,204.2
Annapurna Road,2003,3,3,1,22,No,No,No,Furnished,100.6
LIG Colony,1401,2,4,2,42,Yes,No,No,Semi-Furnished,67.59
Super Corridor,2221,4,3,4,3,Yes,No,No,Semi-Furnished,208.05
Sudama Nagar,4962,4,1,2,41,No,Yes,Yes,Non-Furnished,166.39
Ring Road,3166,4,1,2,28,Yes,Yes,Yes,Non-Furnished,150.52
Rau,4630,5,2,2,23,No,Yes,Yes,Non-Furnished,308.92
Ujjain Road,1730,3,2,2,27,No,No,No,Furnished,57.98
Rau-Pithampur Road,2231,3,1,2,6,No,Yes,Yes,Non-Furnished,92.7
CAT Road,4948,4,4,3,21,No,Yes,Yes,Non-Furnished,209.27
Bengali Square,4603,5,4,2,18,No,No,No,Furnished,383.0
LIG Colony,1565,3,3,1,39,No,No,No,Furnished,77.86
Indore Bypass,4677,4,3,4,8,Yes,No,No,Furnished,269.67
Pipliyahana,546,1,3,4,27,Yes,Yes,Yes,Semi-Furnished,31.68
Limbodi,666,1,4,2,26,No,Yes,Yes,Non-Furnished,24.95
Annapurna Road,2312,3,4,2,30,No,Yes,Yes,Semi-Furnished,108.22
Khandwa Road,4962,4,3,1,38,No,Yes,Yes,Furnished,192.84
Scheme No. 54,2906,4,3,4,21,No,No,Yes,Non-Furnished,323.25
Bhawarkuan,2119,3,4,2,21,Yes,No,No,Semi-Furnished,101.77
Silicon City,2303,3,2,4,24,No,Yes,Yes,Semi-Furnished,75.47
Dhar Road,2423,3,3,4,4,No,No,No,Non-Furnished,98.07
Khandwa Road,4429,4,1,3,43,Yes,Yes,Yes,Semi-Furnished,155.86
Gandhi Nagar,4787,4,2,2,4,Yes,No,No,Semi-Furnished,240.43
Khandwa Road,3829,4,2,1,30,Yes,No,No,Semi-Furnished,148.94
Scheme No. 140,3937,4,3,0,13,No,No,No,Furnished,248.01
Vaishali Nagar,731,1,1,2,8,No,Yes,Yes,Non-Furnished,47.19
Khandwa Road,3746,4,4,2,24,No,Yes,Yes,Semi-Furnished,160.82
Gandhi Nagar,2021,3,1,1,37,Yes,No,No,Non-Furnished,73.45
Scheme No. 54,2756,4,1,3,26,Yes,No,No,Non-Furnished,289.83
Annapurna Road,4073,4,2,3,24,No,No,No,Semi-Furnished,192.71
Khajrana,3271,4,1,0,32,No,No,No,Non-Furnished,100.85
